名称及规格,单位,数量,市场价,合计,单位面积用量
镀锌活接头 50,个,13.13,6.8,89.28,0.00102770820288
压力表开关 15,个,9.0,9.9,89.1,0.000704445835942
压制弯头 70,个,32.5312,2.63,85.56,0.00254627426425
橡胶圈 75,个,64.56,1.26,81.35,0.00505322479649
角钢 63以内,kg,33.8467,2.37,80.22,0.00264924076393
塑料球 100,个,14.832,5.2,77.13,0.00116092673763
镀锌钢管接头零件(室内) 25,个,61.4184,1.19,73.09,0.00480732623669
压力表弯管 Φ15,个,9.0,7.5,67.5,0.000704445835942
螺栓及垫片 ,kg,13.1176,5.12,67.16,0.00102673763306
酚醛清漆 ,kg,5.6526,11.1,62.74,0.000442438948028
石棉盘根 ,kg,8.08,7.7,62.22,0.000632435817157
气焊条 ,kg,13.4503,4.0,53.8,0.00105277864746
板方材 ,m3,0.044,1198.0,52.71,3.44395742016e-06
双头带母螺栓 16*120-140,套,57.68,0.91,52.49,0.0045147150908
斜垫铁 ,kg,24.48,1.9,46.51,0.00191609267376
平垫铁 ,kg,24.384,1.9,46.33,0.00190857858485
镀锌活接头 32,个,12.12,3.7,44.84,0.000948653725736
膨胀螺栓 Φ16,套,16.48,2.7,44.5,0.00128991859737
镀锌活接头 40,个,8.08,5.18,41.85,0.000632435817157
压制弯头 80,个,10.92,3.66,39.97,0.000854727614277
垫圈 20,个,944.305,0.04,37.77,0.0739124139011
普通钢板 δ=3.5-4.0,kg,14.6067,2.58,37.69,0.00114329211021
无缝钢管 22*2.5,m,6.0,6.0,36.0,0.000469630557295
活接头垫 15,个,1138.2,0.03,34.15,0.0890889167188
镀锌钢管接头零件(室内) 32,个,17.3448,1.85,32.09,0.00135760801503
银粉 ,kg,1.3927,22.28,31.03,0.000109009079524
镀锌钢管 20,m,3.264,9.44,30.81,0.000255479023168
碎石、块石 ,m3,0.592,48.17,28.52,4.63368816531e-05
普通钢板 δ=4.1-7,kg,9.6,2.71,26.02,0.000751408891672
管卡 综合 50以内,个,39.9602,0.64,25.57,0.00312775516594
压制弯头 32,个,21.384,1.05,22.45,0.0016737633062
煤油 ,kg,6.72,3.24,21.77,0.00052598622417
丝扣闸阀 15,个,1.5,13.5,20.25,0.000117407639324
压盖 15,个,8.0,2.3,18.4,0.000626174076393
位号牌 ,个,9.0,2.0,18.0,0.000704445835942
清油 ,kg,1.1,13.3,14.63,8.60989355041e-05
黄油 ,kg,2.424,5.4,13.09,0.000189730745147
压盖 32,个,4.0,3.0,12.0,0.000313087038197
垫圈 16,个,593.28,0.02,11.87,0.0464370695053
黑玛钢弯头 20,个,22.22,0.5,11.11,0.00173919849718
压制弯头 50,个,6.21,1.64,10.18,0.0004860676268
胶皮管 25,m,1.5,4.34,6.51,0.000117407639324
漂白粉 ,kg,4.0238,1.6,6.44,0.000314949906074
黑玛钢堵头 20,个,22.22,0.29,6.44,0.00173919849718
汽油 ,kg,1.632,3.62,5.91,0.000127739511584
活接头垫 20,个,174.3,0.03,5.23,0.0136427676894
带母螺栓 8*16-25,套,45.835,0.114,5.23,0.00358758609894
角钢 63以外,kg,2.0737,2.42,5.02,0.000162312147777
普通钢板 δ=1.6-1.9,kg,1.36,3.5,4.76,0.000106449592987
铁丝 8#-12#,kg,1.5416,2.9,4.47,0.000120663744521
镀锌弯头 15,个,8.08,0.5,4.04,0.000632435817157
熟铁管箍 15,个,9.0,0.4,3.6,0.000704445835942
单管卡子 20,个,9.0,0.34,3.06,0.000704445835942
镀锌钢管接头零件(室内) 20,个,3.6864,0.79,2.91,0.000288541014402
铅板 ,kg,0.32,8.9,2.85,2.50469630557e-05
活接头垫 25,个,90.3,0.03,2.71,0.00706793988729
圆钢 Φ10以外,kg,0.8544,2.4,2.05,6.68753913588e-05
木螺丝 ,个,97.392,0.021,2.05,0.00762304320601
汽油 60#-70#,kg,0.45,2.9,1.31,3.52222917971e-05
油灰 ,kg,0.8,1.2,0.96,6.26174076393e-05
镀锌机螺钉 2～5*4～50,个,18.0,0.051,0.92,0.00140889167188
白水泥 ,kg,1.0,0.55,0.55,7.82717595492e-05
活接头垫 50,个,13.65,0.04,0.55,0.00106840951785
活接头垫 32,个,12.6,0.04,0.5,0.000986224170319
活接头垫 40,个,8.4,0.04,0.34,0.000657482780213
六角螺母 10,个,2.8302,0.064,0.18,0.000221524733876
